age,arr,vic
0,,154
1,,123
2,,125
3,,126
4,,145
5,,128
6,,111
7,,136
8,2,115
9,1,125
10,4,108
11,16,125
12,39,182
13,61,259
14,127,253
15,199,315
16,231,394
17,318,478
18,367,644
19,395,797
20,563,1007
21,460,1174
22,500,1222
23,481,1359
24,468,1346
25,486,1325
26,458,1251
27,448,1221
28,440,1161
29,416,1236
30,415,1151
31,355,1145
32,377,1004
33,378,1056
34,360,1008
35,345,992
36,326,907
37,248,808
38,264,756
39,252,824
40,233,717
41,209,716
42,201,695
43,242,754
44,214,713
45,202,720
46,222,730
47,226,638
48,198,644
49,250,685
50,205,693
51,215,632
52,227,695
53,213,718
54,150,638
55,116,509
56,119,552
57,128,556
58,99,503
59,82,477
60,60,404
61,64,345
62,50,380
63,27,341
64,36,269
65,16,263
66,22,253
67,20,260
68,8,170
69,8,154
70,7,149
71,10,151
72,4,135
73,2,106
74,2,107
75,5,82
76,1,86
77,2,56
78,,75
79,1,65
80,1,78
81,7,48
82,2,60
83,,38
84,1,55
85,1,21
86,,30
87,,23
88,,28
89,,17
90,,21
91,,13
92,,17
93,,7
94,,5
95,,3
96,,4
97,,2
99,,1
100,,1
102,,1
107,,1
111,,1
121,,
134,,1
136,,
137,,1
